ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Identify the equation of a vertical line,Equations of Lines,B,"Which of the following is the correct equation for the vertical line that passes through the point (3, 5)?",\( y = 3x \),\( x = 3 \),\( y = 5 \),\( x = 5 \),1003.0,,,
Solve problems that combine addition and subtraction,BIDMAS,A,Calculate the following: \( 12 - 5 + 3 \),\( 10 \),\( 5 \),\( 15 \),\( 0 \),,1005.0,,
Calculate the mean of a set of numbers,"Averages (mean, median, mode) from a List of Data",A,"A teacher recorded the number of books read by each student in a class over the summer. The numbers are: 5, 7, 3, 8, 4, 6, 2, 9, 10, 1. What is the mean number of books read by the students?",5.5,5,6,4.5,,1006.0,,
Identify the highest common factor of a set of numbers,Factors and Multiples,B,"What is the highest common factor (HCF) of the numbers 12, 18, and 24?",12,6,24,3,1010.0,,,
Apply the distributive property to simplify expressions,Distributive Property,B,"Simplify the following expression:
\[
3(2x + 4)
\]",\( 6x + 4 \),\( 6x + 12 \),\( 5x + 12 \),\( 6x + 7 \),1011.0,,,
Understand frequency in grouped data,Frequency Tables and Grouped Data,D,"A teacher recorded the test scores of 30 students in a frequency table. The scores are grouped into intervals. The midpoint of the interval 60-70 is 65. If the total frequency of the interval 60-70 is 10, what is the frequency of the midpoint 65?",5,10,15,0,1014.0,,,
Adjusting Ratios by Adding Items,Ratio and Proportion,B,"In a classroom, the ratio of boys to girls is 3:4. If 6 more boys join the class, the new ratio becomes 5:4. How many boys were there initially?",12,18,24,30,1015.0,,,
Understand the relationship between class width and frequency density in histograms,Histograms,A,"A histogram is used to represent the distribution of the number of hours students spend on homework each week. The first class interval is 5-10 hours, and the frequency for this interval is 15. The second class interval is 10-15 hours, and the frequency for this interval is 20. If the class width for both intervals is 5, what is the frequency density for the second class interval?",4,5,20,100,,,1019.0,
Solve simultaneous equations graphically,Simultaneous Equations,A,"Consider the following system of linear equations:
\[
y = 2x + 1
\]
\[
y = -x + 4
\]
Graph both equations on the same coordinate plane and find the point of intersection, which is the solution to the system.","(1, 3)","(2, 5)","(3, 1)",It is not possible to solve this system graphically,,,,1020.0
Identify Outliers in a Data Set,Statistics and Data Analysis,B,"A group of students recorded the number of pages they read over the weekend. The data set is as follows: 12, 15, 18, 20, 22, 25, 100. 

Tom says that 100 is not an outlier because it is just a large number.
Katie says that 100 is an outlier because it is far from the mean.

Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,1021.0,,,
Understand the Complement of a Set in a Triple Venn Diagram,Set Theory and Venn Diagrams,B,"Consider the sets A, B, and C represented in the Venn diagram below. The universal set U contains the elements {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}. The elements in the sets are as follows:
- A = {1, 2, 3, 4, 5, 6, 7}
- B = {5, 6, 7, 8, 9, 10, 11}
- C = {9, 10, 11, 12, 13, 14, 15}

What is the complement of set A (A') in the context of the universal set U?
","{8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}","{8, 12, 13, 14, 15, 16, 17, 18, 19, 20}","{12, 13, 14, 15, 16, 17, 18, 19, 20}","{16, 17, 18, 19, 20}",1023.0,,,
Interpret the median from a frequency table,Averages and Range from Frequency Table,B,"The table below shows the number of books read by students in a month. What is the median number of books read?

| Number of Books | Frequency |
|-----------------|-----------|
| 1               | 5         |
| 2               | 7         |
| 3               | 10        |
| 4               | 8         |
| 5               | 5         |
",10,3,2,5,1027.0,,,
Identify the Complement of a Set,Set Theory,A,"Given the universal set \( U = \{1, 2, 3, 4, 5, 6, 7, 8, 9, 10\} \) and the set \( A = \{2, 4, 6, 8\} \), what is the complement of set \( A \) (denoted as \( A^c \))?","\( \{1, 3, 5, 7, 9, 10\} \)","\( \{1, 3, 5, 7, 9\} \)","\( \{2, 4, 6, 8\} \)","\( \{1, 2, 3, 4, 5, 6, 7, 8, 9, 10\} \)",,1034.0,,
Calculate time using the correct formula,"Speed, Distance, and Time",A,A car travels at a constant speed of 60 km/h. How long will it take to travel 180 km?,3 hours,10800 hours,10800 minutes,3 minutes,,1037.0,,
Understand the function of the reciprocal button on a calculator,Calculator Skills,A,"Sarah is using her calculator to solve the equation \( \frac{1}{x} = 4 \). She mistakenly uses the reciprocal button (1/x) to raise \( x \) to the power of 4. What should Sarah actually do to solve the equation correctly, and what is the correct value of \( x \)?",Use the reciprocal button and get \( x = 0.25 \),Use the power button and get \( x = 0.25 \),Use the reciprocal button and get \( x = 4 \),Use the power button and get \( x = 4 \),,1038.0,,
Calculate a percentage of an amount,Percentages of an Amount,A,What is 20% of £120?,£24,£32,£140,£144,,,,1039.0
Divide a number in standard form by an integer,Standard Form and Division,A,Divide \( 6 \times 10^5 \) by 3.,\( 2 \times 10^5 \),\( 2 \times 10^4 \),\( 18 \times 10^5 \),\( 18 \times 10^4 \),,1042.0,,
Interpret a Cumulative Frequency Diagram,Cumulative Frequency,B,"The cumulative frequency diagram below shows the distribution of the heights (in cm) of 100 students. What is the number of students whose height is less than 160 cm?
![A cumulative frequency diagram with the x-axis labeled ""Height (cm)"" and the y-axis labeled ""Cumulative Frequency"". The curve starts at (140, 0) and ends at (180, 100). The point (160, 70) is marked on the curve.]",30,70,100,170,1045.0,,,
Calculate the volume of a scaled 3D shape,Volume and Scaling,C,A small cube has a side length of 2 cm. A larger cube is created by scaling the small cube by a factor of 3. What is the volume of the larger cube?,18 cm³,54 cm³,216 cm³,6 cm³,,1052.0,,
Convert ratios to fractions,Ratios and Fractions,A,A recipe for a smoothie requires a ratio of 2 parts banana to 3 parts strawberry. What fraction of the smoothie is banana?,\( \frac{2}{5} \),\( \frac{2}{6} \),\( \frac{3}{5} \),\( \frac{2}{3} \),,1053.0,,
Describe the effect of a 90 or 270 degree rotation on a shape,Transformations - Rotations,B,"A triangle with vertices at (1, 1), (3, 1), and (2, 3) is rotated 90 degrees counterclockwise about the origin. Which of the following points is the correct image of the vertex (2, 3) after the rotation?","(3, -2)","(-3, 2)","(-2, 3)","(2, -3)",1056.0,,,
Understand the definition of the range in a set of data,Statistics and Data Handling,A,"A teacher recorded the scores of 5 students in a math test. The scores are: 78, 82, 90, 85, and 70. What is the range of these scores?",20,12,15,10,,1059.0,,
Interpret Column Vectors,Vectors,A,"A point P is moved by the column vector \(\begin{pmatrix} 3 \\ -2 \end{pmatrix}\). If the original coordinates of P are (1, 4), what are the new coordinates of P?","(4, 2)","(-2, 6)","(4, 6)","(-2, 2)",,1060.0,,
"Describe a 90° rotation giving the angle and direction of rotation, and the coordinates of the center of rotation",Rotation,B,"Tom and Katie are discussing how to fully describe the rotation from shape \( P \) to shape \( Q \).

Tom says: ""a rotation of \( 180^{\circ} \) about point \( (2,2) \) ""

Katie says: ""a rotation of \( 90^{\circ} \) clockwise about point \( (2,2) \)""

Who is correct? ![A coordinate grid with two squares drawn on it labelled P and Q. Square P has the coordinates: (0,0) (0,2) (2,2) (2,0). Square Q has the coordinates: (2,4) (4,4) (4,2) (2,2).]()",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,1061.0,,,
Estimate Population Size Using Capture-Recapture Method,Sampling and Estimation,B,"A wildlife researcher is using the capture-recapture method to estimate the population of rabbits in a forest. Initially, 50 rabbits were captured, marked, and released. A week later, 60 rabbits were captured, and it was found that 15 of them were marked. What is the best estimate of the total rabbit population in the forest?",200,300,400,500,1062.0,,,
Solve compound inequalities involving union and intersection,Solving Compound Inequalities,C,"Solve the following compound inequality and select the correct solution set:
\[
(x < 3) \cap (x > 1) \cup (x > 5)
\]",\( 1 < x < 3 \),\( x > 5 \),\( 1 < x < 3 \) or \( x > 5 \),\( x < 3 \) or \( x > 5 \),,,,1064.0
Calculate the area of a rectangle,Area of Simple Shapes,B,A rectangular garden has a length of 15 meters and a width of 8 meters. What is the area of the garden in square meters?,120 meters,120 square meters,23 meters,23 square meters,1065.0,,,
Measure and Draw Angles,Measuring Angles,A,Sarah is drawing a triangle. She measures one of the angles to be 45 degrees. She then draws a line segment of 45 degrees from one vertex of the triangle. What mistake has Sarah made?,She has drawn a line segment of 45 degrees instead of 45 units.,She has drawn a line segment of 45 units instead of 45 degrees.,She has drawn the angle incorrectly.,She has drawn the triangle incorrectly.,,1067.0,,
Understand the correct method for dividing numbers,Division,A,Calculate the following: \( \frac{128}{16} \),\( 8 \),\( 12 \),\( 7 \),\( 16 \),,1076.0,,
Identify multiples of odd numbers,Multiples and Factors,B,Which of the following numbers is a multiple of 7?,14,21,28,35,1077.0,,,
Convert between minutes and hours,Time,A,"If a movie lasts for 1 hour and 20 minutes, how many minutes long is the movie?",80 minutes,60 minutes,100 minutes,120 minutes,,,1080.0,
Subtract fractions with different denominators,Subtracting Fractions,B,"Tom and Katie are discussing how to solve the following problem:
\[
\frac{3}{4} - \frac{1}{2}
\]

Tom says a correct next line of working could be: \( \frac{3 \div 1}{4 \div 2} \)

Katie says a correct next line of working could be: \( \frac{3 \times 2 - 1 \times 4}{4 \times 2} \)
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,1081.0,,,
Simplify expressions by removing brackets and performing operations,Simplifying Expressions,B,Simplify the following expression: \( 3(2x + 4) - 5 \),\( 6x + 7 \),\( 6x + 12 - 5 \),\( 6x + 17 \),\( 6x + 12 \),1084.0,,,
Simplify expressions involving powers,Laws of Exponents,B,Simplify the following expression: \( x^3 \times x^4 \),\( x^{12} \),\( x^7 \),\( x^1 \),\( x^{34} \),1085.0,,,
Calculate the perimeter of a sector,Perimeter and Arc Length,B,A sector of a circle has a radius of 10 cm and a central angle of 60 degrees. What is the perimeter of the sector?,10.47 cm,20.47 cm,30.47 cm,40.47 cm,1086.0,,,
Calculate the sum of interior angles of a polygon,Interior Angles of Polygons,A,What is the sum of the interior angles of a hexagon?,720 degrees,600 degrees,100 degrees,120 degrees,,1087.0,,
Find a fraction of another fraction,Fractions of Fractions,B,What is \(\frac{1}{3}\) of \(\frac{2}{5}\)?,\(\frac{3}{8}\),\(\frac{2}{15}\),\(\frac{1}{8}\),\(\frac{3}{15}\),1088.0,,,
Understand the commutativity of addition with negative numbers,Adding and Subtracting Negative Numbers,B,Calculate the following: \( (-7) + 5 \),\( -12 \),\( -2 \),\( 2 \),\( 12 \),,,1090.0,
Identify coefficients in real-world scenarios,Algebraic Expressions,A,"A local bakery sells cupcakes for $2 each and cookies for $1.50 each. If a customer buys \( c \) cupcakes and \( k \) cookies, which of the following represents the total cost of the purchase?",\( 2c + 1.50k \),\( 3.50(c + k) \),\( 2c + k \),\( 2 + 1.50 \),,1092.0,,
Understand the effect of scaling frequencies on the mean,Statistics and Data Handling,A,"A teacher has a set of test scores for a class of 10 students. The scores are as follows: 70, 75, 80, 85, 90, 95, 100, 105, 110, 115. The teacher decides to double the frequency of each score to create a new set of data. What is the mean of the new set of data?",92.5,185,46.25,18.5,,1094.0,,
Understand the concept of vector equality,Vectors,B,"Consider two vectors, \(\vec{a} = 3\hat{i} + 4\hat{j}\) and \(\vec{b} = 6\hat{i} + 8\hat{j}\). Which of the following statements is true?",\(\vec{a}\) and \(\vec{b}\) are equal because they point in the same direction.,\(\vec{a}\) and \(\vec{b}\) are not equal because they have different magnitudes.,\(\vec{a}\) and \(\vec{b}\) are equal because they have the same components.,\(\vec{a}\) and \(\vec{b}\) are not equal because they have different directions.,1095.0,,,
Convert between millilitres and centilitres,Volume and Capacity Units,B,A bottle contains 500 millilitres of water. How many centilitres of water does the bottle contain?,5000 cl,50 cl,500 cl,5 cl,1096.0,,,
Identify a situation where Pythagoras' Theorem is needed,Pythagoras' Theorem,A,"A ladder is leaning against a wall. The base of the ladder is 3 meters away from the wall, and the top of the ladder reaches 4 meters up the wall. What is the length of the ladder?",5 meters,7 meters,12 meters,1 meter,,1097.0,,
Understand the concept of stratified sampling,Statistics and Probability,A,"A school has 1,200 students, divided into three grades: 6th, 7th, and 8th. The 6th grade has 400 students, the 7th grade has 350 students, and the 8th grade has 450 students. A survey is to be conducted using a stratified sample of 120 students. How many students should be selected from each grade to maintain the proportionality of the sample?
","40 students from 6th grade, 35 students from 7th grade, 45 students from 8th grade",40 students from each grade,"30 students from 6th grade, 35 students from 7th grade, 55 students from 8th grade","50 students from 6th grade, 30 students from 7th grade, 40 students from 8th grade",,1101.0,,
Estimate the product of two numbers using significant figures,Estimation,B,Estimate the product of 47.2 and 3.8 by rounding each number to one significant figure.,180,200,190,160,1105.0,,,
Calculate the measure of each interior angle in a regular polygon,Properties of Polygons,B,A regular polygon has 8 sides. What is the measure of each interior angle?,45 degrees,135 degrees,180 degrees,360 degrees,1106.0,,,
Interpret a cumulative frequency diagram,Cumulative Frequency,A,"The cumulative frequency diagram below shows the distribution of the heights of 100 students in a school. What is the total number of students represented in the diagram? ![A cumulative frequency diagram with the x-axis labeled ""Height (cm)"" and the y-axis labeled ""Cumulative Frequency"". The curve rises from (140, 0) to (180, 100).]
",100,180,140,80,,1109.0,,
Identify linear equations from a set of equations,Linear Equations,A,Which of the following equations is linear?,\( y = 2x + 3 \),\( y = x^2 + 2x + 1 \),\( y = 3x^3 - 4x + 5 \),\( y = \frac{1}{x} + 2 \),,1111.0,,
Apply Pythagoras' Theorem to Find a Missing Side,Pythagoras' Theorem,A,A right-angled triangle has one leg of length 3 cm and a hypotenuse of length 5 cm. What is the length of the other leg?,4 cm,15 cm,2.45 cm,8 cm,,1112.0,,
Find missing lengths in similar shapes,Similar Shapes and Scale Factors,A,"Two similar triangles, Triangle A and Triangle B, are shown. The length of the base of Triangle A is 6 cm, and the length of the base of Triangle B is 12 cm. If the height of Triangle A is 8 cm, what is the height of Triangle B?",16 cm,4 cm,24 cm,8 cm,,,,1117.0
Understand the concept of randomness in selection methods,Probability and Statistics,B,"A teacher wants to select a student to answer a question. She decides to use a method where she picks a name from a hat. However, she only puts the names of students who have completed their homework into the hat. Is this method random?","Yes, because the teacher is using a hat to pick the name.","No, because not all students have an equal chance of being selected.","Yes, because only students who did their homework should be chosen.","No, because the teacher should pick a name without looking.",1121.0,,,
Enlarging a Shape Using a Scale Factor,Transformations and Enlargements,B,"A triangle has vertices at A(2, 3), B(4, 3), and C(3, 5). The triangle is enlarged by a scale factor of 2 from the center of enlargement at (0, 0). What are the new coordinates of vertex A?
","(1, 1.5)","(4, 6)","(1, 1.5) and (4, 6)","(4, 3)",1122.0,,,
Identify the correct operation in word problems,Mental Addition and Subtraction,A,Sarah has 12 apples. She buys 5 more apples. How many apples does Sarah have now?,17,60,7,12,,1125.0,,
Substitute values into algebraic expressions,Substitution into Formula,B,"If \( x = 3 \), what is the value of \( 2x + 5 \)?",\( 2x + 5 \),\( 11 \),\( 6 + 5 \),\( 2(3) + 5 \),1127.0,,,
Solve problems involving ratios,Ratios and Proportions,A,"In a classroom, the ratio of boys to girls is 3:4. If there are 12 boys, how many girls are there?",16,9,15,18,,1129.0,,
Add fractions with different denominators,Adding and Subtracting Fractions,B,Calculate the sum of \(\frac{2}{3} + \frac{4}{5}\).,\(\frac{6}{15}\),\(\frac{22}{15}\),\(\frac{8}{15}\),\(\frac{10}{15}\),1131.0,,,
Interpret a line graph showing a trend over time,Time Series and Line Graphs,B,"The graph below shows the number of visitors to a local park over a 12-month period. According to the graph, the number of visitors generally increased over the year. Which of the following statements is true about the trend in the number of visitors?

![A line graph with the x-axis labeled ""Month"" and the y-axis labeled ""Number of Visitors."" The graph shows a general increase in the number of visitors over the 12 months, but with some fluctuations. The points are (1, 100), (2, 120), (3, 110), (4, 130), (5, 140), (6, 135), (7, 150), (8, 160), (9, 155), (10, 170), (11, 180), (12, 190).]
",The number of visitors increased every month.,"The number of visitors generally increased, but there were some months where the number decreased.",The number of visitors decreased every month.,The number of visitors remained constant throughout the year.,1136.0,,,
Simplify expressions involving powers of variables,Laws of Exponents,A,Simplify the expression \( (x^3)^2 \).,\( x^6 \),\( x^5 \),\( x^9 \),\( x^1 \),,,1137.0,
Interpret grouped frequency tables,Averages and Range from Frequency Table,B,A teacher recorded the test scores of 30 students in a grouped frequency table. The scores are grouped into intervals. Which of the following statements is true regarding the calculation of the mean score from this table?,A midpoint column is necessary to calculate the mean.,The mean can be calculated without a midpoint column.,The mean cannot be calculated from a grouped frequency table.,The mean is the same as the median in a grouped frequency table.,1141.0,,,
Understand the parts of a fraction,Fractions,B,"In the fraction \(\frac{5}{8}\), what is the numerator and what is the denominator?",The numerator is 8 and the denominator is 5.,The numerator is 5 and the denominator is 8.,The numerator is 13 and the denominator is 3.,The numerator is 3 and the denominator is 13.,1143.0,,,
Solve 'more than' problems using equations,Equations and Inequalities,A,"Sarah has 12 more apples than Tom. If together they have 56 apples, how many apples does Sarah have?",34,28,22,44,,,1147.0,
Identify the relationship between two lines,Parallel and Perpendicular Lines,B,Two lines are drawn on a coordinate plane. Line A has the equation \( y = 2x + 3 \) and Line B has the equation \( y = 2x - 1 \). Which of the following statements is true about the relationship between Line A and Line B?,Line A and Line B are perpendicular.,Line A and Line B are parallel.,Line A and Line B intersect at a 45-degree angle.,Line A and Line B are the same line.,1149.0,,,
Understand the representation of data in histograms,Histograms,C,"A histogram is used to represent the distribution of the number of books read by students in a month. The histogram has bars of different widths, and the frequency density is used to determine the height of each bar. If the midpoint of the first bar is at 2.5 books, and the bar represents the number of students who read between 2 and 3 books, what does the midpoint of the bar represent in this context?",The midpoint of the bar represents the average number of books read by students in that range.,The midpoint of the bar represents the exact number of books read by each student in that range.,The midpoint of the bar represents the center of the range of books read by students.,The midpoint of the bar represents the total number of students in that range.,1154.0,,,
Compare non-like surds,Surds and Radicals,B,Which of the following is the correct comparison between \(\sqrt{5}\) and \(\sqrt{3}\)?,\(\sqrt{5} < \sqrt{3}\),\(\sqrt{5} > \sqrt{3}\),\(\sqrt{5} = \sqrt{3}\),Cannot be determined,1159.0,,,
Find missing values in a table using a pattern,Patterns and Sequences,A,"The table below shows the number of tiles used to create different patterns. Find the number of tiles used in Pattern 4.

| Pattern Number | Number of Tiles |
|----------------|-----------------|
| 1              | 5               |
| 2              | 7               |
| 3              | 9               |
| 4              | ?               |
",11,10,12,13,,1160.0,,
Convert between square metres and square centimetres,Area and Units,C,A rectangular garden has an area of 5 square metres. What is the area of the garden in square centimetres?,500 square centimetres,5000 square centimetres,50000 square centimetres,500000 square centimetres,,1161.0,,
Interpret error intervals with inequality signs,Error Intervals and Inequalities,B,A measurement is given as \( 15 \pm 0.5 \). Which of the following represents the correct error interval for this measurement?,\( 14.5 < x < 15.5 \),\( 14.5 \leq x \leq 15.5 \),\( 14.5 \leq x < 15.5 \),\( 14.5 < x \leq 15.5 \),1162.0,,,
Perform multiplication using the stick method,Multiplication Methods,A,Use the stick method to find the product of 24 and 13.,312,213,321,231,,1170.0,,
Perform written division using the bus-stop method,Written Division,A,Calculate \( 128 \div 8 \) using the bus-stop method.,\( 16 \),\( 15 \),\( 14 \),\( 13 \),,1171.0,,
Calculate the mean from grouped data,"Averages (mean, median, mode) from Grouped Data",B,"The following table shows the number of books read by a group of students over the summer. Calculate the mean number of books read.

| Number of Books | Frequency | Midpoint |
|-----------------|-----------|----------|
| 0-2             | 5         | 1        |
| 3-5             | 10        | 4        |
| 6-8             | 7         | 7        |
| 9-11            | 3         | 10       |
",\( \frac{1 + 4 + 7 + 10}{4} = 5.5 \),\( \frac{1 \times 5 + 4 \times 10 + 7 \times 7 + 10 \times 3}{25} = 5.2 \),\( \frac{1 + 4 + 7 + 10}{25} = 0.52 \),\( \frac{5 + 10 + 7 + 3}{4} = 6.25 \),1174.0,,,
Calculate the perimeter of a composite shape,Perimeter of Shapes,B,"What is the perimeter of the shape below? ![A composite shape made up of a 5cm by 3cm rectangle and a 3cm by 2cm rectangle, joined along one of the 3cm sides. The shape has a total of 10 sides, but some sides are internal and not part of the perimeter.]",16 cm,22 cm,20 cm,18 cm,1178.0,,,
Identify the recurring decimal representation of a fraction,Recurring Decimals,A,What is the correct recurring decimal representation of \( \frac{1}{7} \)?,\( 0.\overline{142857} \),\( 0.142857 \),\( 0.1\overline{42857} \),\( 0.142\overline{857} \),,,1182.0,
Rationalise the Denominator,Surds and Rationalisation,A,Rationalise the denominator of the following expression: \(\frac{5}{\sqrt{3}}\),\(\frac{5\sqrt{3}}{3}\),\(\frac{5}{3}\),\(\frac{5\sqrt{3}}{\sqrt{3}}\),\(\frac{5\sqrt{3}}{9}\),,,1185.0,
Understand the concept of multiples and how they relate to each other,Multiples and Factors,C,"If \( 12 \) is a multiple of \( 3 \), what is the next multiple of \( 3 \) after \( 12 \)?",\( 13 \),\( 14 \),\( 15 \),\( 16 \),1189.0,,,
Factorise a linear expression in the form ax + b,Factorising Linear Expressions,A,"Factorise the following expression:
\[
3x - 9
\]",\( 3(x - 3) \),\( 3(x + 3) \),\( -3(x + 3) \),\( -3(x - 3) \),,1191.0,,
Find the missing base angles of an isosceles triangle,Angles in Triangles,B,"In an isosceles triangle, the vertex angle is \( 80^\circ \). What is the measure of each base angle?",\( 40^\circ \),\( 50^\circ \),\( 60^\circ \),\( 80^\circ \),1194.0,,,
Calculate percentage change,Percentages,A,"The price of a laptop was reduced from $1,200 to $960. What is the percentage change in the price of the laptop?",20%,240,24%,80%,,1195.0,,
Interpret a histogram,Histograms,B,"The histogram below shows the distribution of the heights of 100 students. What is the frequency of students with heights between 160 cm and 170 cm? ![A histogram with the x-axis labeled ""Height (cm)"" and the y-axis labeled ""Frequency Density"". The bars are as follows: 150-160 cm: 0.5, 160-170 cm: 1.0, 170-180 cm: 0.7, 180-190 cm: 0.3]
",10,20,30,40,1197.0,,,
Identify co-interior angles,Angle Facts with Parallel Lines,B,"In the diagram below, lines PQ and RS are parallel, and line XY is a transversal. Identify the pair of co-interior angles formed by the transversal XY and the parallel lines PQ and RS. ![A pair of parallel lines PQ and RS with a transversal XY crossing them. Angles are marked as 1, 2, 3, and 4 at the intersections.]
    Answer A text: Angles 1 and 4
    Answer B text: Angles 2 and 3
    Answer C text: Angles 1 and 3
    Answer D text: Angles 2 and 4
    Answer: B
    Incorrect answer: C
```","Angles 1 and 4
    Answer B text: Angles 2 and 3
    Answer C text: Angles 1 and 3
    Answer D text: Angles 2 and 4
    Answer: B
    Incorrect answer: C
```","Angles 2 and 3
    Answer C text: Angles 1 and 3
    Answer D text: Angles 2 and 4
    Answer: B
    Incorrect answer: C
```","Angles 1 and 3
    Answer D text: Angles 2 and 4
    Answer: B
    Incorrect answer: C
```","Angles 2 and 4
    Answer: B
    Incorrect answer: C
```",,,1199.0,
Calculate the range from a list of data,Range and Interquartile Range from a List of Data,A,"A group of students recorded the number of pages they read in a week. The data is as follows: 120, 150, 180, 200, 220, 250, 280, 300, 320, 350. What is the range of the number of pages read?",230,250,220,2300,,1200.0,,
Calculate the area of a sector,Area of Sectors,B,A circle has a radius of 10 cm. A sector of the circle has a central angle of 60°. What is the area of the sector?,"\( 10.47 \, \text{cm}^2 \)","\( 52.36 \, \text{cm}^2 \)","\( 31.42 \, \text{cm}^2 \)","\( 20.94 \, \text{cm}^2 \)",1201.0,,,
Interpret frequency on a histogram,Histograms,C,"The histogram below shows the distribution of the number of books read by students in a month. Each bar represents a range of the number of books read. The height of each bar represents the frequency density. If the bar for 1-3 books has a height of 2 and a width of 3, and the bar for 4-6 books has a height of 1.5 and a width of 3, how many more students read 1-3 books compared to 4-6 books?

![A histogram with two bars. The first bar (1-3 books) has a height of 2 and a width of 3. The second bar (4-6 books) has a height of 1.5 and a width of 3.]
",3 students,1.5 students,6 students,4.5 students,1211.0,,,
Calculate the area of a triangle given the base and perpendicular height,Area of Simple Shapes,A,A triangle has a base of 12 cm and a perpendicular height of 8 cm. The height is drawn from the vertex to the midpoint of the base. What is the area of the triangle?,\( 48 \mathrm{~cm}^{2} \),\( 96 \mathrm{~cm}^{2} \),\( 24 \mathrm{~cm}^{2} \),\( 60 \mathrm{~cm}^{2} \),,1217.0,,
Solve simultaneous equations with two variables,Simultaneous Equations,B,"Solve the following system of equations:
\[
\begin{cases}
2x + 3y = 12 \\
4x - y = 10
\end{cases}
\]
What is the value of \( y \)?",\( y = 2 \),\( y = 4 \),\( y = 6 \),\( y = 8 \),1219.0,,,
Counting and Cardinality,Number Sense,B,"How many numbers are there from -3 to 3, inclusive?",6,7,5,4,1220.0,,,
Convert a decimal to a fraction,Converting Decimals to Fractions,B,Convert the decimal \( 0.75 \) to a fraction.,\( \frac{75}{100} \),\( \frac{3}{4} \),\( \frac{1}{75} \),\( \frac{75}{1} \),,,1221.0,
Simplify algebraic expressions involving exponents,Exponents and Powers,A,Simplify the following expression: \( 5x \times x^2 \),\( 5x^3 \),\( 5x^2 \),\( 10x^2 \),\( 5x \),,1227.0,,
Identify sets based on shared properties,Set Theory,D,"Consider the following sets:
- Set A: {2, 4, 6, 8, 10}
- Set B: {1, 3, 5, 7, 9}
- Set C: {2, 4, 6, 8, 10, 12, 14, 16, 18, 20}
- Set D: {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}

Which of the following statements is true?",Set A and Set B are the same because they both contain numbers.,Set A and Set C are the same because they both contain even numbers.,Set A and Set D are the same because they both contain numbers from 1 to 10.,None of the above.,,1228.0,,
Interpret frequency on a pictogram,Data Representation,D,"A pictogram shows the number of books read by students in a class over the summer. Each symbol represents 2 books. The symbols for each student are not evenly spaced. Which student read the most books?

- Alice: [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] (10 symbols)
- Bob: [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] (12 symbols, but spaced further apart)
- Carol: [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] (11 symbols, but spaced closer together)
- Dave: [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] [Symbol] (13 symbols, but very spread out)
",Alice,Bob,Carol,Dave,,1232.0,,
Interpret 3D Views,3D Geometry and Views,A,"A 3D object is shown from the front, side, and top views. Which of the following is the correct top view of the object? ![A 3D object with a front view showing a rectangle with a smaller rectangle on top, a side view showing a rectangle, and a top view showing a rectangle with a smaller rectangle on one side.]()",A rectangle with a smaller rectangle on one side,A rectangle with a smaller rectangle on top,A single rectangle,A rectangle with a smaller rectangle on the bottom,,1236.0,,
